yearG3,sex,county,Ndeaths,YLL,pop,YLLper,cRate,rateSE,rateLCI,rateUCI,aRate,aLCI,aUCI,aSE,causeName
2004-2006,Total,Sonoma,269,1987,1409420,140.98,19.0859,1.16369,16.8051,21.3667,17.5369,15.4808,19.8056,1.08164,Other malignant neoplasms
2004-2006,Total,San Mateo,412,3231,2100080,153.851,19.6183,0.966524,17.7239,21.5126,18.8574,17.0734,20.7892,0.932703,Other malignant neoplasms
2004-2006,Total,Alameda,760,6396,4390270,145.686,17.311,0.627937,16.0803,18.5417,19.4126,18.0462,20.8586,0.709811,Other malignant neoplasms
2004-2006,Total,Shasta,164,1238,522966,236.727,31.3596,2.44877,26.5601,36.1591,25.3563,21.593,29.7076,1.99714,Other malignant neoplasms
2004-2006,Total,Sacramento,770,7958,4073360,195.367,18.9033,0.681229,17.5682,20.2385,20.6615,19.2223,22.1823,0.747415,Other malignant neoplasms
2004-2006,Total,San Bernardino,804,8402,5819710,144.371,13.8151,0.487222,12.8602,14.7701,18.7552,17.4598,20.1264,0.672694,Other malignant neoplasms
2004-2006,Total,Santa Clara,788,6629,5110280,129.719,15.4199,0.549311,14.3433,16.4965,18.0348,16.7892,19.3504,0.646822,Other malignant neoplasms
2004-2006,Total,El Dorado,107,953,518744,183.713,20.6267,1.99406,16.7185,24.535,19.1208,15.626,23.2816,1.8733,Other malignant neoplasms
2004-2006,Total,Santa Barbara,206,1479,1235730,119.686,16.6703,1.16147,14.3938,18.9467,16.2133,14.0635,18.6191,1.13579,Other malignant neoplasms
2004-2006,Total,Tulare,215,2230,1224410,182.128,17.5594,1.19754,15.2123,19.9066,22.4045,19.4923,25.639,1.53745,Other malignant neoplasms
2004-2006,Total,Stanislaus,265,2809,1491840,188.291,17.7633,1.09119,15.6246,19.902,20.5684,18.1562,23.2183,1.26899,Other malignant neoplasms
2004-2006,Total,Solano,242,2086,1233300,169.14,19.6221,1.26136,17.1499,22.0944,22.6892,19.8899,25.7838,1.47513,Other malignant neoplasms
2004-2006,Total,Fresno,408,4363,2618510,166.622,15.5814,0.771394,14.0695,17.0933,18.6851,16.9055,20.607,0.930589,Other malignant neoplasms
2004-2006,Total,San Francisco,509,4128,2343280,176.163,21.7217,0.962797,19.8347,23.6087,19.8806,18.1808,21.7442,0.886514,Other malignant neoplasms
2004-2006,Total,Santa Cruz,154,1370,765049,179.073,20.1294,1.62208,16.9502,23.3086,22.2188,18.7915,26.1275,1.82192,Other malignant neoplasms
2004-2006,Total,Ventura,404,3558,2393150,148.674,16.8815,0.839886,15.2354,18.5276,18.6382,16.8542,20.5639,0.932988,Other malignant neoplasms
2004-2006,Total,San Diego,1596,13789,8916340,154.649,17.8997,0.448054,17.0216,18.7779,19.4371,18.4919,20.4197,0.48819,Other malignant neoplasms
2004-2006,Total,Contra Costa,599,4716,3012540,156.545,19.8835,0.812419,18.2912,21.4758,20.4466,18.8312,22.1671,0.841019,Other malignant neoplasms
2004-2006,Total,San Joaquin,358,3193,1951020,163.658,18.3493,0.969793,16.4486,20.2501,21.4192,19.2468,23.7768,1.13786,Other malignant neoplasms
2004-2006,Total,Napa,111,796,392870,202.612,28.2536,2.68172,22.9976,33.5097,23.393,19.1968,28.3286,2.24698,Other malignant neoplasms
2004-2006,Total,Los Angeles,4524,45492,29419400,154.633,15.3776,0.228627,14.9295,15.8257,17.8885,17.3682,18.4207,0.267384,Other malignant neoplasms
2004-2006,Total,Riverside,913,8605,5808960,148.133,15.7171,0.52016,14.6976,16.7366,17.0618,15.9697,18.2126,0.566368,Other malignant neoplasms
2004-2006,Total,Orange,1297,11315,8869060,127.578,14.6239,0.406062,13.828,15.4197,16.4804,15.5911,17.4082,0.459983,Other malignant neoplasms
2004-2006,Total,San Luis Obispo,162,1064,780221,136.372,20.7633,1.63132,17.566,23.9607,17.7354,15.0958,20.7822,1.40098,Other malignant neoplasms
2004-2006,Total,Placer,188,1417,937720,151.111,20.0486,1.4622,17.1828,22.9145,18.2622,15.7353,21.1166,1.3372,Other malignant neoplasms
2004-2006,Total,Marin,176,1165,740606,157.304,23.7643,1.7913,20.2534,27.2752,19.168,16.409,22.3668,1.46233,Other malignant neoplasms
2004-2006,Total,San Bernardino,1534,12418,5819710,213.378,26.3587,0.672994,25.0396,27.6777,37.2221,35.3534,39.1679,0.96559,Hypertensive heart disease
2004-2006,Total,Contra Costa,654,4723,3012540,156.778,21.7092,0.848898,20.0454,23.373,21.8307,20.1818,23.5832,0.857737,Hypertensive heart disease
2004-2006,Total,Kern,473,4139,2288230,180.882,20.671,0.950454,18.8081,22.5339,28.5482,26.0021,31.2861,1.32921,Hypertensive heart disease
2004-2006,Total,Solano,301,1859,1233300,150.734,24.406,1.40674,21.6489,27.1632,29.2416,26.0011,32.7824,1.70172,Hypertensive heart disease
2004-2006,Total,Sacramento,972,8089,4073360,198.583,23.8624,0.765387,22.3623,25.3625,25.7857,24.1846,27.4677,0.829862,Hypertensive heart disease
2004-2006,Total,Humboldt,107,524,395154,132.607,27.0781,2.61773,21.9474,32.2087,25.7111,21.0368,31.2256,2.50482,Hypertensive heart disease
2004-2006,Total,San Luis Obispo,156,398,780221,51.0112,19.9943,1.60083,16.8568,23.1319,16.3804,13.9015,19.2587,1.31661,Hypertensive heart disease
2004-2006,Total,San Mateo,470,1801,2100080,85.7586,22.3801,1.03232,20.3568,24.4034,21.0618,19.1955,23.0737,0.974165,Hypertensive heart disease
2004-2006,Total,Sonoma,309,1300,1409420,92.2366,21.9239,1.24721,19.4794,24.3684,18.7623,16.7089,21.0194,1.07792,Hypertensive heart disease
2004-2006,Total,San Francisco,741,4137,2343280,176.547,31.6224,1.16168,29.3455,33.8992,28.0967,26.1033,30.2502,1.03563,Hypertensive heart disease
2004-2006,Total,Tulare,225,922,1224410,75.3014,18.3762,1.22508,15.975,20.7773,24.3208,21.2387,27.7307,1.62566,Hypertensive heart disease
2004-2006,Total,Santa Cruz,168,616,765049,80.5177,21.9594,1.6942,18.6388,25.28,23.4335,19.9904,27.3445,1.82644,Hypertensive heart disease
2004-2006,Total,Los Angeles,5391,29236,29419400,99.3766,18.3246,0.249575,17.8355,18.8138,21.8037,21.2237,22.3958,0.297885,Hypertensive heart disease
2004-2006,Total,Stanislaus,388,1364,1491840,91.4309,26.0082,1.32037,23.4203,28.5961,30.6158,27.6386,33.8315,1.55766,Hypertensive heart disease
2004-2006,Total,Monterey,189,737,1224980,60.1644,15.4289,1.12228,13.2292,17.6285,18.1573,15.6549,20.9588,1.32403,Hypertensive heart disease
2004-2006,Total,Santa Clara,1158,4305,5110280,84.242,22.6602,0.665901,21.3551,23.9654,27.4312,25.868,29.0654,0.809167,Hypertensive heart disease
2004-2006,Total,Butte,126,487,641587,75.9055,19.6388,1.74956,16.2097,23.0679,15.1794,12.6141,18.2286,1.36948,Hypertensive heart disease
2004-2006,Total,Santa Barbara,358,1913,1235730,154.807,28.9707,1.53115,25.9697,31.9717,27.3817,24.6029,30.4106,1.45554,Hypertensive heart disease
2004-2006,Total,Madera,103,414,419884,98.5987,24.5306,2.41707,19.7932,29.268,31.2319,25.4602,37.9525,3.09563,Hypertensive heart disease
2004-2006,Total,San Joaquin,407,3071,1951020,157.405,20.8609,1.03403,18.8342,22.8875,24.1626,21.8639,26.6451,1.20198,Hypertensive heart disease
2004-2006,Total,CALIFORNIA,22150,125287,107985000,116.022,20.5121,0.137823,20.2419,20.7822,22.9656,22.6633,23.271,0.15474,Hypertensive heart disease
2004-2006,Total,Orange,1382,5800,8869060,65.3958,15.5823,0.419156,14.7607,16.4038,17.8538,16.9223,18.8241,0.481574,Hypertensive heart disease
2004-2006,Total,Riverside,1464,11872,5808960,204.374,25.2024,0.658676,23.9115,26.4934,28.4105,26.9669,29.914,0.746056,Hypertensive heart disease
2004-2006,Total,Fresno,469,1806,2618510,68.9705,17.911,0.827051,16.29,19.5319,21.8934,19.9527,23.9771,1.01299,Hypertensive heart disease
2004-2006,Total,San Diego,1732,7760,8916340,87.0313,19.425,0.466753,18.5102,20.3398,20.9697,19.992,21.9847,0.504745,Hypertensive heart disease
2004-2006,Total,Placer,119,300,937720,31.9925,12.6904,1.16332,10.4103,14.9704,11.8062,9.77832,14.1673,1.08346,Hypertensive heart disease
2004-2006,Total,Alameda,1153,7793,4390270,177.506,26.2626,0.773435,24.7467,27.7785,28.9577,27.2996,30.694,0.85833,Hypertensive heart disease
2004-2006,Total,Merced,134,680,721702,94.2217,18.5672,1.60396,15.4235,21.7109,25.245,21.1368,29.9313,2.18923,Hypertensive heart disease
2004-2006,Total,Ventura,364,1842,2393150,76.9696,15.2101,0.797224,13.6475,16.7726,16.8415,15.1491,18.6756,0.886236,Hypertensive heart disease
2004-2006,Total,Stanislaus,2308,9639,1491840,646.116,154.709,3.2203,148.397,161.02,183.312,175.891,190.97,3.82501,Ischaemic heart disease
2004-2006,Total,San Bernardino,7292,31457,5819710,540.525,125.298,1.46731,122.422,128.174,187.341,183.023,191.739,2.21622,Ischaemic heart disease
2004-2006,Total,Santa Barbara,1584,4395,1235730,355.659,128.183,3.22072,121.871,134.496,119.355,113.516,125.439,3.0161,Ischaemic heart disease
2004-2006,Total,Solano,1180,5764,1233300,467.364,95.6782,2.7853,90.2191,101.137,115.011,108.484,121.836,3.37831,Ischaemic heart disease
2004-2006,Total,CALIFORNIA,141060,550766,107985000,510.038,130.629,0.347807,129.947,131.311,147.981,147.207,148.757,0.394946,Ischaemic heart disease
2004-2006,Total,Contra Costa,3097,11205,3012540,371.945,102.804,1.8473,99.1829,106.424,105.211,101.521,109.004,1.89897,Ischaemic heart disease
2004-2006,Total,Santa Clara,4657,17758,5110280,347.496,91.1301,1.33539,88.5128,93.7474,110.218,107.062,113.445,1.62171,Ischaemic heart disease
2004-2006,Total,Kern,3542,16241,2288230,709.763,154.792,2.60091,149.694,159.89,223.56,216.196,231.118,3.78842,Ischaemic heart disease
2004-2006,Total,San Luis Obispo,1120,3106,780221,398.092,143.549,4.28935,135.142,151.956,119.173,112.267,126.465,3.57528,Ischaemic heart disease
2004-2006,Total,Marin,891,2785,740606,376.043,120.307,4.03043,112.407,128.206,94.4535,88.2984,101.026,3.19291,Ischaemic heart disease
2004-2006,Total,Del Norte,106,615,84769,725.501,125.046,12.1455,101.241,148.85,123.866,101.336,150.325,12.0732,Ischaemic heart disease
2004-2006,Total,Inyo,148,315,55454,568.038,266.888,21.938,223.89,309.886,173.75,146.771,206.26,14.3456,Ischaemic heart disease
2004-2006,Total,San Mateo,2360,7181,2100080,341.939,112.377,2.31324,107.843,116.91,106.709,102.435,111.128,2.20286,Ischaemic heart disease
2004-2006,Total,Shasta,955,4170,522966,797.375,182.612,5.90919,171.03,194.194,145.563,136.442,155.246,4.72842,Ischaemic heart disease
2004-2006,Total,Nevada,448,1461,293241,498.225,152.775,7.21796,138.628,166.922,108.648,98.7668,119.595,5.16113,Ischaemic heart disease
2004-2006,Total,San Benito,120,717,165350,433.626,72.5733,6.62501,59.5886,85.5581,99.0926,81.8655,118.96,9.20985,Ischaemic heart disease
2004-2006,Total,El Dorado,647,2852,518744,549.789,124.724,4.90342,115.114,134.335,122.797,113.427,132.825,4.8744,Ischaemic heart disease
2004-2006,Total,Imperial,462,2142,474136,451.769,97.4404,4.53334,88.5552,106.326,131.38,119.446,144.271,6.23287,Ischaemic heart disease
2004-2006,Total,Alameda,4838,17931,4390270,408.426,110.198,1.58432,107.093,113.303,125.623,122.09,129.235,1.81528,Ischaemic heart disease
2004-2006,Total,Mendocino,388,2170,263840,822.468,147.059,7.46578,132.426,161.691,122.219,110.156,135.424,6.31375,Ischaemic heart disease
2004-2006,Total,Monterey,1195,3618,1224980,295.352,97.5529,2.82199,92.0218,103.084,115.419,108.953,122.18,3.34603,Ischaemic heart disease
2004-2006,Total,Humboldt,510,2237,395154,566.108,129.064,5.71503,117.862,140.265,122.516,112.054,133.792,5.45605,Ischaemic heart disease
2004-2006,Total,Sacramento,5532,23093,4073360,566.928,135.809,1.82595,132.231,139.388,150.467,146.518,154.498,2.02797,Ischaemic heart disease
2004-2006,Total,Fresno,3247,13109,2618510,500.628,124.002,2.17614,119.737,128.267,152.232,147.029,157.578,2.67792,Ischaemic heart disease
2004-2006,Total,Los Angeles,42519,173273,29419400,588.975,144.527,0.700903,143.153,145.901,173.692,172.04,175.355,0.844593,Ischaemic heart disease
2004-2006,Total,Siskiyou,226,1177,134614,874.352,167.887,11.1677,145.999,189.776,115.751,100.965,132.93,7.80127,Ischaemic heart disease
2004-2006,Total,Yuba,297,1559,202174,771.118,146.903,8.52419,130.196,163.61,184.609,164.079,207.057,10.7826,Ischaemic heart disease
2004-2006,Total,San Francisco,3129,10907,2343280,465.459,133.531,2.38714,128.852,138.21,117.288,113.2,121.533,2.10424,Ischaemic heart disease
2004-2006,Total,Napa,534,1491,392870,379.515,135.923,5.88196,124.394,147.451,104.378,95.6049,113.843,4.57387,Ischaemic heart disease
2004-2006,Total,Tulare,1605,6285,1224410,513.307,131.083,3.27197,124.67,137.496,173.435,165.031,182.163,4.34105,Ischaemic heart disease
2004-2006,Total,Yolo,497,2376,563875,421.37,88.1401,3.95362,80.3911,95.8891,114.613,104.714,125.219,5.16347,Ischaemic heart disease
2004-2006,Total,Sutter,403,1628,264827,614.741,152.175,7.58037,137.318,167.032,157.468,142.441,173.698,7.85796,Ischaemic heart disease
2004-2006,Total,Tehama,287,1371,181503,755.359,158.124,9.33377,139.83,176.418,135.706,120.405,152.675,8.03958,Ischaemic heart disease
2004-2006,Total,Glenn,124,528,82519,639.853,150.268,13.4945,123.82,176.717,143.672,119.471,171.698,12.918,Ischaemic heart disease
2004-2006,Total,Butte,1154,4845,641587,755.159,179.866,5.29477,169.489,190.244,140.493,132.392,149.058,4.19398,Ischaemic heart disease
2004-2006,Total,Kings,357,1988,434722,457.304,82.1214,4.34633,73.6028,90.6401,133.887,120.175,148.773,7.18397,Ischaemic heart disease
2004-2006,Total,Santa Cruz,759,2736,765049,357.624,99.2093,3.60107,92.1514,106.267,109.232,101.503,117.429,4.01513,Ischaemic heart disease
2004-2006,Total,Sonoma,1863,6275,1409420,445.219,132.182,3.06243,126.18,138.184,115.193,109.969,120.619,2.6958,Ischaemic heart disease
2004-2006,Total,Amador,240,848,112825,751.606,212.719,13.7309,185.807,239.631,145.674,127.765,166.502,9.43619,Ischaemic heart disease
2004-2006,Total,Riverside,8714,34200,5808960,588.746,150.01,1.60698,146.86,153.159,171.394,167.798,175.05,1.84434,Ischaemic heart disease
2004-2006,Total,Placer,1313,4957,937720,528.623,140.02,3.8642,132.447,147.594,128.555,121.683,135.748,3.554,Ischaemic heart disease
2004-2006,Total,Lake,414,1820,189523,960.306,218.443,10.735900000000001,197.401,239.485,159.4,144.317,176.089,7.88596,Ischaemic heart disease
2004-2006,Total,San Diego,10425,38656,8916340,433.541,116.92,1.14512,114.676,119.165,127.545,125.103,130.024,1.25165,Ischaemic heart disease
2004-2006,Total,Orange,10975,35956,8869060,405.409,123.745,1.1812,121.43,126.06,142.893,140.225,145.599,1.36751,Ischaemic heart disease
2004-2006,Total,Calaveras,245,910,134012,679.044,182.819,11.6799,159.927,205.712,134.275,117.755,153.428,8.70414,Ischaemic heart disease
2004-2006,Total,Madera,565,2542,419884,605.405,134.561,5.66102,123.466,145.656,163.111,149.832,177.294,6.91787,Ischaemic heart disease
2004-2006,Total,Merced,840,4459,721702,617.845,116.392,4.01589,108.521,124.263,157.28,146.783,168.342,5.44743,Ischaemic heart disease
2004-2006,Total,San Joaquin,3129,12008,1951020,615.472,160.377,2.86708,154.758,165.997,188.968,182.386,195.733,3.38777,Ischaemic heart disease
2004-2006,Total,Ventura,2953,9223,2393150,385.391,123.394,2.27071,118.943,127.844,138.696,133.722,143.811,2.56062,Ischaemic heart disease
2004-2006,Total,Tuolumne,297,1307,169385,771.615,175.34,10.1743,155.399,195.281,120.565,107.137,135.867,7.05238,Ischaemic heart disease
2004-2006,Total,Contra Costa,1549,4972,3012540,165.043,51.4184,1.30645,48.8578,53.9789,52.6869,50.0857,55.392,1.34379,Stroke
2004-2006,Total,Humboldt,261,827,395154,209.285,66.0502,4.0884,58.0371,74.0633,62.1317,54.7894,70.2915,3.8635100000000002,Stroke
2004-2006,Total,Tulare,493,2348,1224410,191.765,40.2642,1.81341,36.71,43.8184,53.2036,48.5967,58.1356,2.4034,Stroke
2004-2006,Total,Sutter,121,203,264827,76.6538,45.6902,4.15366,37.5492,53.8312,47.8403,39.687,57.2241,4.35453,Stroke
2004-2006,Total,Monterey,493,1787,1224980,145.88,40.2457,1.81257,36.6931,43.7982,47.5236,43.4121,51.9315,2.14493,Stroke
2004-2006,Total,Fresno,1284,5590,2618510,213.48,49.0355,1.36845,46.3534,51.7176,60.2421,56.9848,63.6417,1.68477,Stroke
2004-2006,Total,Marin,441,872,740606,117.741,59.5458,2.83552,53.9883,65.1033,46.8057,42.507,51.5271,2.24576,Stroke
2004-2006,Total,Mendocino,169,446,263840,169.042,64.054,4.92723,54.3968,73.7112,54.3938,46.3988,63.5575,4.24114,Stroke
2004-2006,Total,Nevada,244,445,293241,151.752,83.208,5.32685,72.7676,93.6484,59.3857,52.1516,67.7048,3.81044,Stroke
2004-2006,Total,Alameda,1919,7476,4390270,170.286,43.7103,0.997807,41.7547,45.666,49.6894,47.4804,51.9778,1.13974,Stroke
2004-2006,Total,San Bernardino,1958,9794,5819710,168.29,33.6443,0.760335,32.154,35.1345,50.1305,47.9114,52.4286,1.14489,Stroke
2004-2006,Total,San Joaquin,903,3407,1951020,174.626,46.2834,1.54022,43.2646,49.3022,54.4591,50.9557,58.1466,1.81695,Stroke
2004-2006,Total,Riverside,2699,9920,5808960,170.771,46.4627,0.894341,44.7098,48.2156,53.428,51.4219,55.4945,1.03322,Stroke
2004-2006,Total,Kern,848,4666,2288230,203.913,37.0592,1.27262,34.5649,39.5535,53.2193,49.6648,56.9685,1.84465,Stroke
2004-2006,Total,Placer,654,1328,937720,141.62,69.7436,2.72719,64.3984,75.0888,64.7875,59.9126,69.9866,2.53554,Stroke
2004-2006,Total,San Luis Obispo,460,1016,780221,130.22,58.9577,2.74891,53.5699,64.3454,48.1737,43.8592,52.877,2.25268,Stroke
2004-2006,Total,Madera,183,872,419884,207.676,43.5835,3.22178,37.2689,49.898,53.7262,46.1716,62.2049,4.00029,Stroke
2004-2006,Total,Napa,296,803,392870,204.393,75.343,4.37922,66.7599,83.9261,57.4296,50.9908,64.5638,3.38247,Stroke
2004-2006,Total,San Mateo,1071,2941,2100080,140.042,50.998,1.55833,47.9438,54.0523,48.2622,45.4081,51.2611,1.47816,Stroke
2004-2006,Total,Solano,541,2246,1233300,182.113,43.866,1.88595,40.1696,47.5624,53.7671,49.3012,58.5348,2.32765,Stroke
2004-2006,Total,Imperial,156,875,474136,184.546,32.902,2.63426,27.7389,38.065,45.2549,38.2963,53.1993,3.69858,Stroke
2004-2006,Total,Tehama,121,240,181503,132.229,66.6656,6.06051,54.7872,78.5439,57.5247,47.718,69.0334,5.23762,Stroke
2004-2006,Total,San Diego,3763,12810,8916340,143.669,42.2034,0.687988,40.855,43.5519,45.9453,44.4866,47.4413,0.750187,Stroke
2004-2006,Total,Shasta,325,1207,522966,230.799,62.1455,3.44721,55.3891,68.9019,49.8054,44.5177,55.6664,2.77323,Stroke
2004-2006,Total,Los Angeles,11458,50799,29419400,172.672,38.9471,0.363849,38.234,39.6602,46.857,46.0007,47.7255,0.43892,Stroke
2004-2006,Total,El Dorado,206,674,518744,129.929,39.7113,2.76682,34.2884,45.1342,40.6479,35.255,46.7232,2.84926,Stroke
2004-2006,Total,CALIFORNIA,47215,177150,107985000,164.05,43.7236,0.201222,43.3292,44.118,49.6849,49.2369,50.1361,0.229116,Stroke
2004-2006,Total,Lake,149,331,189523,174.649,78.6184,6.44067,65.9949,91.2419,57.2451,48.4128,67.728,4.69515,Stroke
2004-2006,Total,Butte,483,1043,641587,162.566,75.2821,3.42545,68.5683,81.9958,56.511,51.5215,61.9614,2.60418,Stroke
2004-2006,Total,Santa Cruz,293,957,765049,125.09,38.2982,2.2374,33.913,42.6834,42.3738,37.6098,47.6113,2.50284,Stroke
2004-2006,Total,Yolo,239,937,563875,166.172,42.3853,2.74168,37.0117,47.7589,55.5503,48.7094,63.1075,3.60468,Stroke
2004-2006,Total,Sacramento,2240,8889,4073360,218.223,54.9915,1.16191,52.7142,57.2688,61.0535,58.5465,63.6425,1.29241,Stroke
2004-2006,Total,Santa Clara,1752,6105,5110280,119.465,34.2838,0.819073,32.6785,35.8892,41.7709,39.8308,43.7821,1.0015,Stroke
2004-2006,Total,Stanislaus,628,2691,1491840,180.382,42.0958,1.6798,38.8034,45.3881,49.8346,46.0041,53.9034,1.99315,Stroke
2004-2006,Total,Orange,3731,12911,8869060,145.573,42.0676,0.688707,40.7177,43.4174,48.6306,47.0787,50.2213,0.798146,Stroke
2004-2006,Total,Merced,347,1533,721702,212.415,48.0808,2.58111,43.0219,53.1397,65.6667,58.9173,72.9886,3.5366,Stroke
2004-2006,Total,Kings,142,783,434722,180.115,32.6646,2.74115,27.292,38.0371,53.7428,45.1613,63.5181,4.56893,Stroke
2004-2006,Total,Sonoma,967,2013,1409420,142.825,68.6098,2.20634,64.2855,72.9342,59.5786,55.8486,63.5112,1.9336,Stroke
2004-2006,Total,Santa Barbara,632,1474,1235730,119.281,51.1437,2.03439,47.1564,55.131100000000004,47.1709,43.5456,51.0411,1.88638,Stroke
2004-2006,Total,San Francisco,1313,3804,2343280,162.337,56.0326,1.54635,53.0018,59.0634,49.1203,46.4904,51.9079,1.3601,Stroke
2004-2006,Total,Ventura,873,2585,2393150,108.017,36.4791,1.23463,34.0593,38.8989,41.0389,38.3533,43.8665,1.39323,Stroke
2004-2006,Total,Tuolumne,113,211,169385,124.568,66.7119,6.27573,54.4117,79.0121,45.9986,37.8783,56.0739,4.34469,Stroke
2004-2006,Total,Tulare,121,1930,1224410,157.627,9.88229,0.89839,8.12148,11.6431,12.2226,10.1294,14.6351,1.1182,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Shasta,118,739,522966,141.309,22.5636,2.07715,18.4925,26.6347,18.5883,15.3563,22.4199,1.72787,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Alameda,512,5633,4390270,128.307,11.6622,0.515399,10.652,12.6723,12.6678,11.5836,13.8304,0.565476,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Stanislaus,143,2309,1491840,154.776,9.5855,0.80158,8.01443,11.1566,10.7846,9.08182,12.7232,0.90613,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,CALIFORNIA,10442,111217,107985000,102.993,9.66984,0.0946297,9.48437,9.85532,10.6457,10.4416,10.8528,0.104592,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,San Bernardino,435,6041,5819710,103.802,7.4746,0.358379,6.77218,8.17701,9.89451,8.96841,10.896,0.484052,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Contra Costa,348,2502,3012540,83.0528,11.5517,0.619236,10.338,12.7654,11.7108,10.5058,13.0206,0.631456,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Los Angeles,2791,35322,29419400,120.064,9.48694,0.179575,9.13498,9.8389,10.851,10.4499,11.264,0.206575,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,San Diego,891,8669,8916340,97.226,9.99289,0.334775,9.33675,10.649,10.7469,10.0508,11.4803,0.361041,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Butte,102,733,641587,114.248,15.8981,1.57414,12.8128,18.9833,12.8844,10.469,15.7987,1.29652,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Riverside,548,4929,5808960,84.8517,9.4337,0.402988,8.64386,10.2235,10.5454,9.67687,11.4739,0.452585,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Sonoma,178,1102,1409420,78.1882,12.6293,0.946607,10.774,14.4846,11.0359,9.45902,12.8207,0.835529,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Solano,161,1499,1233300,121.544,13.0544,1.02883,11.0379,15.0709,14.9786,12.7271,17.5262,1.19548,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,San Joaquin,227,3165,1951020,162.223,11.6349,0.772237,10.1214,13.1485,13.1453,11.4826,14.9907,0.876951,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Fresno,212,1992,2618510,76.0738,8.09621,0.55605,7.00637,9.18605,9.75224,8.47845,11.1694,0.672596,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Kern,240,2709,2288230,118.388,10.4885,0.677027,9.16151,11.8154,14.0764,12.328,16.0154,0.921541,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,San Mateo,244,2440,2100080,116.186,11.6186,0.743805,10.1608,13.0764,11.0818,9.73037,12.5814,0.711893,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Monterey,134,1013,1224980,82.6954,10.939,0.944984,9.08685,12.7911,12.6213,10.5682,14.972,1.09405,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Sacramento,352,3644,4073360,89.4594,8.64153,0.460595,7.73878,9.54427,9.40819,8.4476,10.4508,0.503236,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Santa Clara,259,3050,5110280,59.6836,5.06822,0.314924,4.45098,5.68546,5.82235,5.1296,6.58507,0.364606,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Orange,846,7346,8869060,82.8272,9.53877,0.32795,8.896,10.1815,10.7321,10.018,11.4848,0.370611,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Santa Barbara,143,1599,1235730,129.397,11.5721,0.967706,9.67541,13.4687,10.9718,9.23352,12.965,0.925144,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,Ventura,175,1396,2393150,58.3331,7.31253,0.552775,6.22911,8.39595,8.12693,6.96269,9.4345,0.616948,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,San Francisco,195,1541,2343280,65.7625,8.32167,0.595927,7.15368,9.48967,7.36353,6.3623,8.531,0.529472,"Cardiomyopathy, myocarditis, endocarditis"
2004-2006,Total,CALIFORNIA,13074,24488,107985000,22.6772,12.1072,0.105886,11.8997,12.3147,13.8359,13.5995,14.0755,0.121145,Congestive heart failure
2004-2006,Total,Solano,134,380,1233300,30.8116,10.8651,0.938606,9.02552,12.7048,13.4208,11.2301,15.9194,1.16753,Congestive heart failure
2004-2006,Total,Shasta,148,208,522966,39.7731,28.3001,2.32626,23.7407,32.8595,22.2322,18.7923,26.2505,1.82887,Congestive heart failure
2004-2006,Total,Sonoma,186,247,1409420,17.525,13.1969,0.967646,11.3004,15.0935,11.1818,9.61894,12.9487,0.827354,Congestive heart failure
2004-2006,Total,Los Angeles,2800,6631,29419400,22.5396,9.51753,0.179864,9.165,9.87006,11.559,11.1341,11.9962,0.218791,Congestive heart failure
2004-2006,Total,San Mateo,263,145,2100080,6.9045,12.5233,0.772221,11.0098,14.0369,11.6798,10.3092,13.1962,0.721061,Congestive heart failure
2004-2006,Total,Fresno,478,1204,2618510,45.9804,18.2547,0.834949,16.6182,19.8911,22.2894,20.3327,24.3889,1.02114,Congestive heart failure
2004-2006,Total,Santa Cruz,144,169,765049,22.0901,18.8223,1.56853,15.7481,21.8966,20.1821,16.9968,23.8368,1.69501,Congestive heart failure
2004-2006,Total,Butte,167,215,641587,33.5107,26.0292,2.0142,22.0814,29.977,19.0294,16.2278,22.298,1.48627,Congestive heart failure
2004-2006,Total,Alameda,363,977,4390270,22.2538,8.26829,0.433973,7.41772,9.11886,9.39136,8.44667,10.4162,0.494706,Congestive heart failure
